% Model:              物镜.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 13 2023, 23:17
% Dimension:          1
% Nodes:              616
% Expressions:        1
% Description:        线结果图
% r                       磁场，Z 分量
0.04455971794643717       15615.408860151196
0.044645506567283416      15542.366007782044
0.04473129518812966       15437.61596460854
0.044813909542887574      15218.5318670813
0.04489652389764548       15031.15496035841
0.0449791382524034        14843.77805363552
0.045061752607161304      14656.401146912638
0.045144366961919216      14413.272351491802
0.04522392450165747       14011.35015999363
0.04530348204139574       13665.17985719341
0.04538303958113399       13319.00955439319
0.04546259712087225       12972.839251592963
0.04554215466061051       12619.679114106148
0.045618768490589         12110.302075598305
0.04569538232056749       11607.914871777059
0.045771996150545974      11105.527667955812
0.04584860998052447       10603.140464134563
0.04592522381050296       10142.805926989915
0.04600076353832256       9608.898802792326
0.04607630326614216       9032.939011918133
0.046151842993961766      8456.979221043941
0.04622738272178136       7881.019430169749
0.046302922449600964      7344.904875473208
0.04638112176268071       6850.031837586943
